Serving HTTP on 0.0.0.0 port 8081 (http://0.0.0.0:8081/) ...
127.0.0.1 - - [25/Sep/2025 12:30:24] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [25/Sep/2025 12:30:24] "GET /styles.css HTTP/1.1" 200 -
127.0.0.1 - - [25/Sep/2025 12:30:24] "GET /script.js HTTP/1.1" 200 -
127.0.0.1 - - [25/Sep/2025 12:30:33] "GET /dashboard.html HTTP/1.1" 200 -
127.0.0.1 - - [25/Sep/2025 12:30:33] "GET /dashboard.css HTTP/1.1" 200 -
127.0.0.1 - - [25/Sep/2025 12:30:33] "GET /script.js HTTP/1.1" 200 -
127.0.0.1 - - [25/Sep/2025 12:30:33] "GET /dashboard.js HTTP/1.1" 200 -
127.0.0.1 - - [25/Sep/2025 12:30:33] "GET /styles.css HTTP/1.1" 200 -
127.0.0.1 - - [25/Sep/2025 12:30:41] "GET /blog.html HTTP/1.1" 200 -
127.0.0.1 - - [25/Sep/2025 12:30:41] "GET /script.js HTTP/1.1" 200 -
127.0.0.1 - - [25/Sep/2025 12:30:41] "GET /styles.css HTTP/1.1" 200 -
127.0.0.1 - - [25/Sep/2025 12:30:41] "GET /blog.css HTTP/1.1" 200 -
127.0.0.1 - - [25/Sep/2025 12:30:41] "GET /blog.js HTTP/1.1" 200 -
127.0.0.1 - - [25/Sep/2025 12:31:21] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [25/Sep/2025 12:31:21] "GET /styles.css HTTP/1.1" 200 -
127.0.0.1 - - [25/Sep/2025 12:31:21] "GET /script.js HTTP/1.1" 200 -
